[METRICS]
Uptime: 310.5s
Ads Detected: 0
Ads Blocked: 0
Resilience Executions: 1
Aggressive Recoveries: 0
Health Triggers: 1
Errors: 6

[LOGS]
[2025-11-22T13:45:39.619Z] Core initialized
[2025-11-22T13:45:39.827Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql"}
[2025-11-22T13:45:40.250Z] Console Warn | {"args":["⚠️ React Router Future Flag Warning: React Router will begin wrapping state updates in `React.startTransition` in v7. You can use the `v7_startTransition` future flag to opt-in early. For more information, see https://reactrouter.com/v6/upgrading/future#v7_starttransition."]}
[2025-11-22T13:45:40.258Z] Console Warn | {"args":["⚠️ React Router Future Flag Warning: Relative route resolution within Splat routes is changing in v7. You can use the `v7_relativeSplatPath` future flag to opt-in early. For more information, see https://reactrouter.com/v6/upgrading/future#v7_relativesplatpath."]}
[2025-11-22T13:45:40.421Z] Player mounted
[2025-11-22T13:45:40.424Z] Player signature found | {"id":"k0","key":"ref"}
[2025-11-22T13:45:40.424Z] Player signature found | {"id":"k1","key":"ref"}
[2025-11-22T13:45:40.424Z] Player signature found | {"id":"k2","key":"ref"}
[2025-11-22T13:45:40.424Z] PlayerContext: Fresh context found and cached
[2025-11-22T13:45:40.424Z] Event: ACQUIRE - Success (Player Context Found)
[2025-11-22T13:45:40.567Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/integrity"}
[2025-11-22T13:45:40.934Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:40.941Z] PlayerContext: Cache validation | {"isValid":true,"hasK0":true,"hasK1":true,"hasK2":true,"videoElementExists":true}
[2025-11-22T13:45:40.941Z] Event: ACQUIRE - Success (Player Context Found)
[2025-11-22T13:45:41.137Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:41.867Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:42.201Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:42.601Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:42.756Z] Console Error | {"args":["[GraphQL] One or more GraphQL errors were detected on request 01KANX0FYZ3BWRF430HS3DZZAF. PinnedChatSettings: unauthenticated","[object Object]"]}
[2025-11-22T13:45:42.829Z] Console Warn | {"args":["Moving to buffered region","0.033","0"]}
[2025-11-22T13:45:43.044Z] Network Request (Allowed) | {"type":"FETCH","url":"https://assets.twitch.tv/config/manifest.json?v=1"}
[2025-11-22T13:45:43.617Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:43.678Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:43.962Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:44.047Z] Console Error | {"args":["[GraphQL] One or more GraphQL errors were detected on request 01KANX0HCGBNFYC7FGH6KKQYMD. PinnedChatSettings: unauthenticated","[object Object]"]}
[2025-11-22T13:45:44.459Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:44.762Z] Console Error | {"args":["[GraphQL] One or more GraphQL errors were detected on request 01KANX0J2T437DFZ24DH6X4TZD. PinnedChatSettings: unauthenticated","[object Object]"]}
[2025-11-22T13:45:44.913Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:44.973Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:45.129Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-22T13:45:45.600Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
