[2025-11-21T18:48:08.154Z] Core initialized
[2025-11-21T18:48:08.246Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql"}
[2025-11-21T18:48:08.687Z] Console Warn | {"args":["⚠️ React Router Future Flag Warning: React Router will begin wrapping state updates in `React.startTransition` in v7. You can use the `v7_startTransition` future flag to opt-in early. For more information, see https://reactrouter.com/v6/upgrading/future#v7_starttransition."]}
[2025-11-21T18:48:08.687Z] Console Warn | {"args":["⚠️ React Router Future Flag Warning: Relative route resolution within Splat routes is changing in v7. You can use the `v7_relativeSplatPath` future flag to opt-in early. For more information, see https://reactrouter.com/v6/upgrading/future#v7_relativesplatpath."]}
[2025-11-21T18:48:08.902Z] Player mounted
[2025-11-21T18:48:08.904Z] Player signature found | {"id":"k0","key":"ref"}
[2025-11-21T18:48:08.904Z] Player signature found | {"id":"k1","key":"ref"}
[2025-11-21T18:48:08.904Z] Player signature found | {"id":"k2","key":"ref"}
[2025-11-21T18:48:08.904Z] Event: ACQUIRE - Success (Player Context Found)
[2025-11-21T18:48:09.031Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/integrity"}
[2025-11-21T18:48:09.397Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:09.408Z] Event: ACQUIRE - Success (Player Context Found)
[2025-11-21T18:48:09.619Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:09.661Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:10.189Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:10.541Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:10.590Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:10.801Z] Console Warn | {"args":["Moving to buffered region","0.033","0"]}
[2025-11-21T18:48:10.934Z] Network Request (Allowed) | {"type":"FETCH","url":"https://assets.twitch.tv/config/manifest.json?v=1"}
[2025-11-21T18:48:11.427Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:11.692Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:11.728Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:11.736Z] Console Error | {"args":["[GraphQL] One or more GraphQL errors were detected on request 01KAKVXKG6J66DGEYF25TZ4G49. PinnedChatSettings: unauthenticated","[object Object]"]}
[2025-11-21T18:48:11.861Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:11.969Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:12.314Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:12.433Z] Console Error | {"args":["[GraphQL] One or more GraphQL errors were detected on request 01KAKVXMXS8SEMHWH5MFSWFJY4. PinnedChatSettings: unauthenticated","[object Object]"]}
[2025-11-21T18:48:12.615Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:12.870Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:13.007Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:13.424Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:13.619Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:13.726Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:13.850Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:14.013Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:15.199Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:16.840Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:26.841Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:48:56.819Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:49:01.684Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:49:09.511Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:49:10.716Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
[2025-11-21T18:49:13.611Z] Network Request (Allowed) | {"type":"FETCH","url":"https://gql.twitch.tv/gql#origin=twilight"}
